번호,날짜,채널,제품,별점,본문,분류후보
1,2026-06-10,네이버,클렌징밤,2,펌프가 헐거워요,용기
2,2026-06-23,자사몰,진정 크림,2,바르고 살짝 따가웠습니다,자극
3,2026-07-12,쿠팡,클렌징밤,5,재구매 의사 있습니다,가격
4,2026-07-16,쿠팡,수분 세럼,5,끈적임 없이 잘 스며듭니다,흡수
5,2026-06-10,네이버,클렌징밤,2,용기 끝까지 못 써서 아깝습니다,펌프 잔량
6,2026-06-24,자사몰,클렌징밤,5,민감성인데 트러블 없었어요,자극
7,2026-07-15,자사몰,클렌징밤,5,민감성인데 트러블 없었어요,자극
8,2026-06-30,네이버,수분 세럼,3,여름엔 좀 무거워요,흡수
9,2026-06-08,자사몰,클렌징밤,5,재구매 의사 있습니다,가격
10,2026-06-28,인스타,클렌징밤,2,3분의 1 남았는데 안 나와요,펌프 잔량
11,2026-07-13,인스타,수분 세럼,2,바르고 살짝 따가웠습니다,자극
12,2026-07-16,자사몰,클렌징밤,3,기대만큼 촉촉하진 않네요,보습
13,2026-07-14,네이버,수분 세럼,2,펌프가 헐거워요,용기
14,2026-07-26,자사몰,수분 세럼,2,주문하고 닷새 만에 왔어요,배송
15,2026-07-17,인스타,수분 세럼,3,무향인 줄 알았는데 향이 세요,향
16,2026-07-20,인스타,진정 크림,3,여름엔 좀 무거워요,흡수
17,2026-07-19,자사몰,클렌징밤,3,기대만큼 촉촉하진 않네요,보습
18,2026-07-01,인스타,수분 세럼,2,주문하고 닷새 만에 왔어요,배송
19,2026-06-05,인스타,수분 세럼,5,향이 은은해서 좋아요,향
20,2026-06-09,자사몰,진정 크림,3,가격 대비 용량이 아쉬워요,가격
21,2026-07-12,쿠팡,진정 크림,2,용기 끝까지 못 써서 아깝습니다,펌프 잔량
22,2026-06-29,인스타,클렌징밤,5,끈적임 없이 잘 스며듭니다,흡수
23,2026-06-08,자사몰,수분 세럼,3,무향인 줄 알았는데 향이 세요,향
24,2026-06-07,네이버,클렌징밤,3,기대만큼 촉촉하진 않네요,보습
25,2026-07-06,네이버,클렌징밤,3,무향인 줄 알았는데 향이 세요,향
26,2026-06-06,인스타,진정 크림,3,기대만큼 촉촉하진 않네요,보습
27,2026-06-22,쿠팡,진정 크림,2,주문하고 닷새 만에 왔어요,배송
28,2026-07-26,인스타,수분 세럼,5,민감성인데 트러블 없었어요,자극
29,2026-06-16,네이버,진정 크림,5,향이 은은해서 좋아요,향
30,2026-06-29,자사몰,클렌징밤,3,기대만큼 촉촉하진 않네요,보습
31,2026-07-29,자사몰,진정 크림,2,바르고 살짝 따가웠습니다,자극
32,2026-06-08,자사몰,진정 크림,5,향이 은은해서 좋아요,향
33,2026-07-03,인스타,진정 크림,2,용기 끝까지 못 써서 아깝습니다,펌프 잔량
34,2026-06-09,인스타,진정 크림,3,가격 대비 용량이 아쉬워요,가격
35,2026-06-12,자사몰,클렌징밤,5,건조함이 확실히 줄었어요,보습
36,2026-07-10,네이버,수분 세럼,2,바르고 살짝 따가웠습니다,자극
37,2026-07-09,인스타,클렌징밤,5,민감성인데 트러블 없었어요,자극
38,2026-06-06,쿠팡,진정 크림,5,민감성인데 트러블 없었어요,자극
39,2026-07-29,네이버,수분 세럼,5,재구매 의사 있습니다,가격
40,2026-07-12,네이버,클렌징밤,3,가격 대비 용량이 아쉬워요,가격
41,2026-06-17,쿠팡,진정 크림,2,용기 끝까지 못 써서 아깝습니다,펌프 잔량
42,2026-07-18,네이버,클렌징밤,2,용기 끝까지 못 써서 아깝습니다,펌프 잔량
43,2026-07-17,네이버,수분 세럼,2,주문하고 닷새 만에 왔어요,배송
44,2026-07-25,자사몰,수분 세럼,5,끈적임 없이 잘 스며듭니다,흡수
45,2026-06-16,인스타,진정 크림,5,재구매 의사 있습니다,가격
46,2026-06-05,자사몰,클렌징밤,3,기대만큼 촉촉하진 않네요,보습
47,2026-07-13,쿠팡,클렌징밤,5,끈적임 없이 잘 스며듭니다,흡수
48,2026-06-07,네이버,수분 세럼,2,용기 끝까지 못 써서 아깝습니다,펌프 잔량
49,2026-07-11,자사몰,수분 세럼,5,끈적임 없이 잘 스며듭니다,흡수
50,2026-06-03,인스타,수분 세럼,2,주문하고 닷새 만에 왔어요,배송
51,2026-07-23,자사몰,클렌징밤,2,용기 끝까지 못 써서 아깝습니다,펌프 잔량
52,2026-06-08,쿠팡,수분 세럼,5,민감성인데 트러블 없었어요,자극
53,2026-07-15,네이버,클렌징밤,5,건조함이 확실히 줄었어요,보습
54,2026-06-28,네이버,진정 크림,5,민감성인데 트러블 없었어요,자극
55,2026-06-18,자사몰,수분 세럼,3,여름엔 좀 무거워요,흡수
56,2026-06-01,자사몰,클렌징밤,2,펌프가 헐거워요,용기
57,2026-06-30,인스타,진정 크림,5,포장이 꼼꼼했어요,포장
58,2026-06-09,네이버,클렌징밤,2,펌프가 헐거워요,용기
59,2026-06-27,쿠팡,진정 크림,3,가격 대비 용량이 아쉬워요,가격
60,2026-06-22,쿠팡,진정 크림,5,포장이 꼼꼼했어요,포장
61,2026-07-06,인스타,진정 크림,5,민감성인데 트러블 없었어요,자극
62,2026-07-13,쿠팡,클렌징밤,5,끈적임 없이 잘 스며듭니다,흡수
63,2026-06-07,인스타,수분 세럼,3,무향인 줄 알았는데 향이 세요,향
64,2026-07-25,자사몰,수분 세럼,3,무향인 줄 알았는데 향이 세요,향
65,2026-06-15,자사몰,수분 세럼,2,용기 끝까지 못 써서 아깝습니다,펌프 잔량
66,2026-06-12,쿠팡,진정 크림,2,용기 끝까지 못 써서 아깝습니다,펌프 잔량
67,2026-06-17,자사몰,진정 크림,2,주문하고 닷새 만에 왔어요,배송
68,2026-07-24,자사몰,클렌징밤,2,용기 끝까지 못 써서 아깝습니다,펌프 잔량
69,2026-07-21,인스타,클렌징밤,2,주문하고 닷새 만에 왔어요,배송
70,2026-06-30,인스타,수분 세럼,2,펌프가 헐거워요,용기
71,2026-06-08,네이버,클렌징밤,2,주문하고 닷새 만에 왔어요,배송
72,2026-07-11,인스타,수분 세럼,2,바르고 살짝 따가웠습니다,자극
73,2026-06-11,자사몰,진정 크림,5,건조함이 확실히 줄었어요,보습
74,2026-06-19,자사몰,진정 크림,2,용기 끝까지 못 써서 아깝습니다,펌프 잔량
75,2026-06-25,자사몰,진정 크림,5,재구매 의사 있습니다,가격
76,2026-06-28,인스타,클렌징밤,5,끈적임 없이 잘 스며듭니다,흡수
77,2026-06-24,인스타,클렌징밤,5,포장이 꼼꼼했어요,포장
78,2026-07-15,자사몰,진정 크림,3,여름엔 좀 무거워요,흡수
79,2026-07-10,자사몰,수분 세럼,5,건조함이 확실히 줄었어요,보습
80,2026-06-28,네이버,수분 세럼,5,향이 은은해서 좋아요,향
81,2026-07-20,자사몰,진정 크림,5,끈적임 없이 잘 스며듭니다,흡수
82,2026-07-28,쿠팡,클렌징밤,2,펌프가 헐거워요,용기
83,2026-07-20,자사몰,진정 크림,5,향이 은은해서 좋아요,향
84,2026-06-10,자사몰,진정 크림,5,끈적임 없이 잘 스며듭니다,흡수
85,2026-07-27,인스타,수분 세럼,5,건조함이 확실히 줄었어요,보습
86,2026-06-16,자사몰,클렌징밤,5,향이 은은해서 좋아요,향
87,2026-07-04,쿠팡,진정 크림,2,바르고 살짝 따가웠습니다,자극
88,2026-07-22,자사몰,진정 크림,3,무향인 줄 알았는데 향이 세요,향
89,2026-07-13,네이버,클렌징밤,2,주문하고 닷새 만에 왔어요,배송
90,2026-07-09,네이버,클렌징밤,2,바르고 살짝 따가웠습니다,자극
91,2026-07-30,자사몰,수분 세럼,5,민감성인데 트러블 없었어요,자극
92,2026-06-23,네이버,진정 크림,5,재구매 의사 있습니다,가격
93,2026-06-26,쿠팡,클렌징밤,3,여름엔 좀 무거워요,흡수
94,2026-06-24,인스타,클렌징밤,5,끈적임 없이 잘 스며듭니다,흡수
95,2026-07-14,인스타,진정 크림,2,용기 끝까지 못 써서 아깝습니다,펌프 잔량
96,2026-06-20,자사몰,클렌징밤,2,펌프가 헐거워요,용기
97,2026-06-09,네이버,진정 크림,3,가격 대비 용량이 아쉬워요,가격
98,2026-06-08,인스타,클렌징밤,2,3분의 1 남았는데 안 나와요,펌프 잔량
99,2026-06-13,쿠팡,진정 크림,5,재구매 의사 있습니다,가격
100,2026-06-24,인스타,수분 세럼,2,바르고 살짝 따가웠습니다,자극
101,2026-07-13,쿠팡,수분 세럼,5,건조함이 확실히 줄었어요,보습
102,2026-07-14,쿠팡,클렌징밤,2,3분의 1 남았는데 안 나와요,펌프 잔량
103,2026-06-05,쿠팡,수분 세럼,5,건조함이 확실히 줄었어요,보습
104,2026-07-27,네이버,진정 크림,2,펌프가 헐거워요,용기
105,2026-06-22,인스타,클렌징밤,3,여름엔 좀 무거워요,흡수
106,2026-07-06,자사몰,진정 크림,2,주문하고 닷새 만에 왔어요,배송
107,2026-06-27,네이버,수분 세럼,2,주문하고 닷새 만에 왔어요,배송
108,2026-06-22,네이버,진정 크림,5,포장이 꼼꼼했어요,포장
109,2026-06-13,쿠팡,클렌징밤,5,포장이 꼼꼼했어요,포장
110,2026-07-26,네이버,진정 크림,5,포장이 꼼꼼했어요,포장
111,2026-06-14,자사몰,수분 세럼,3,무향인 줄 알았는데 향이 세요,향
112,2026-06-27,네이버,진정 크림,5,민감성인데 트러블 없었어요,자극
113,2026-07-11,네이버,클렌징밤,3,가격 대비 용량이 아쉬워요,가격
114,2026-06-03,자사몰,진정 크림,5,재구매 의사 있습니다,가격
115,2026-06-07,네이버,진정 크림,5,포장이 꼼꼼했어요,포장
116,2026-06-10,인스타,클렌징밤,5,재구매 의사 있습니다,가격
117,2026-06-30,네이버,클렌징밤,5,재구매 의사 있습니다,가격
118,2026-06-21,네이버,수분 세럼,5,재구매 의사 있습니다,가격
119,2026-07-20,인스타,클렌징밤,2,용기 끝까지 못 써서 아깝습니다,펌프 잔량
120,2026-07-10,자사몰,클렌징밤,2,3분의 1 남았는데 안 나와요,펌프 잔량
121,2026-07-26,네이버,클렌징밤,5,포장이 꼼꼼했어요,포장
122,2026-06-08,인스타,수분 세럼,2,펌프가 헐거워요,용기
123,2026-06-29,자사몰,진정 크림,5,건조함이 확실히 줄었어요,보습
124,2026-07-24,인스타,수분 세럼,2,주문하고 닷새 만에 왔어요,배송
125,2026-07-27,자사몰,클렌징밤,2,주문하고 닷새 만에 왔어요,배송
126,2026-07-28,자사몰,수분 세럼,2,용기 끝까지 못 써서 아깝습니다,펌프 잔량
127,2026-06-04,인스타,수분 세럼,3,기대만큼 촉촉하진 않네요,보습
128,2026-07-10,쿠팡,클렌징밤,3,가격 대비 용량이 아쉬워요,가격
129,2026-06-08,쿠팡,진정 크림,2,3분의 1 남았는데 안 나와요,펌프 잔량
130,2026-06-13,네이버,수분 세럼,2,바르고 살짝 따가웠습니다,자극
131,2026-06-26,쿠팡,수분 세럼,3,무향인 줄 알았는데 향이 세요,향
132,2026-06-07,네이버,클렌징밤,3,가격 대비 용량이 아쉬워요,가격
133,2026-06-05,인스타,진정 크림,5,민감성인데 트러블 없었어요,자극
134,2026-07-19,인스타,클렌징밤,3,가격 대비 용량이 아쉬워요,가격
135,2026-06-27,쿠팡,클렌징밤,3,가격 대비 용량이 아쉬워요,가격
136,2026-06-23,인스타,클렌징밤,5,건조함이 확실히 줄었어요,보습
137,2026-06-05,인스타,클렌징밤,3,기대만큼 촉촉하진 않네요,보습
