날짜,캠페인,목표,노출,클릭,CTR(%),광고비,전환,매출,ROAS
2026-07-01,신제품_런칭_전환,전환,16552,216,1.3,258247,10,390000,1.51
2026-07-01,브랜드_인지_영상,인지,34926,882,2.53,987568,2,104000,0.11
2026-07-01,리타겟_장바구니,전환,42440,620,1.46,533278,18,1224000,2.3
2026-07-01,신규_관심사,트래픽,18720,160,0.85,161526,1,39000,0.24
2026-07-02,신제품_런칭_전환,전환,9797,206,2.1,328285,2,78000,0.24
2026-07-02,브랜드_인지_영상,인지,25657,462,1.8,519597,4,272000,0.52
2026-07-02,리타겟_장바구니,전환,16054,270,1.68,385486,9,612000,1.59
2026-07-02,신규_관심사,트래픽,13950,126,0.9,109769,0,0,0.0
2026-07-03,신제품_런칭_전환,전환,25795,610,2.36,796016,19,988000,1.24
2026-07-03,브랜드_인지_영상,인지,30635,409,1.34,436656,3,156000,0.36
2026-07-03,리타겟_장바구니,전환,9298,151,1.62,105844,4,156000,1.47
2026-07-03,신규_관심사,트래픽,22497,545,2.42,730265,2,78000,0.11
2026-07-04,신제품_런칭_전환,전환,34211,462,1.35,427916,22,1144000,2.67
2026-07-04,브랜드_인지_영상,인지,36872,589,1.6,572075,2,78000,0.14
2026-07-04,리타겟_장바구니,전환,34073,464,1.36,595409,15,780000,1.31
2026-07-04,신규_관심사,트래픽,41440,468,1.13,330052,1,39000,0.12
2026-07-05,신제품_런칭_전환,전환,32578,657,2.02,785334,11,572000,0.73
2026-07-05,브랜드_인지_영상,인지,18987,311,1.64,246138,1,68000,0.28
2026-07-05,리타겟_장바구니,전환,23485,393,1.67,326667,6,312000,0.96
2026-07-05,신규_관심사,트래픽,39611,962,2.43,1046669,4,208000,0.2
2026-07-06,신제품_런칭_전환,전환,23602,515,2.18,784045,17,663000,0.85
2026-07-06,브랜드_인지_영상,인지,23770,264,1.11,287244,2,78000,0.27
2026-07-06,리타겟_장바구니,전환,42232,868,2.06,980772,16,624000,0.64
2026-07-06,신규_관심사,트래픽,38662,663,1.71,888202,6,408000,0.46
2026-07-07,신제품_런칭_전환,전환,23504,582,2.48,892448,12,624000,0.7
2026-07-07,브랜드_인지_영상,인지,32679,538,1.65,384115,1,52000,0.14
2026-07-07,리타겟_장바구니,전환,27854,704,2.53,597937,23,1564000,2.62
2026-07-07,신규_관심사,트래픽,32050,781,2.44,1098289,3,117000,0.11
2026-07-08,신제품_런칭_전환,전환,20789,302,1.45,297938,12,624000,2.09
2026-07-08,브랜드_인지_영상,인지,25413,550,2.16,434206,5,195000,0.45
2026-07-08,리타겟_장바구니,전환,21210,475,2.24,702830,11,748000,1.06
2026-07-08,신규_관심사,트래픽,39254,937,2.39,1030152,8,544000,0.53
2026-07-09,신제품_런칭_전환,전환,36181,935,2.58,1354752,16,832000,0.61
2026-07-09,브랜드_인지_영상,인지,35283,321,0.91,368211,2,104000,0.28
2026-07-09,리타겟_장바구니,전환,42573,536,1.26,618821,22,1144000,1.85
2026-07-09,신규_관심사,트래픽,21621,519,2.4,400116,1,52000,0.13
2026-07-10,신제품_런칭_전환,전환,21348,280,1.31,444469,9,468000,1.05
2026-07-10,브랜드_인지_영상,인지,14884,143,0.96,146902,0,0,0.0
2026-07-10,리타겟_장바구니,전환,29246,697,2.38,769429,22,858000,1.12
2026-07-10,신규_관심사,트래픽,19689,456,2.32,688821,3,204000,0.3
2026-07-11,신제품_런칭_전환,전환,13103,261,1.99,398670,5,260000,0.65
2026-07-11,브랜드_인지_영상,인지,8927,173,1.94,145220,1,68000,0.47
2026-07-11,리타겟_장바구니,전환,40069,463,1.16,535134,13,676000,1.26
2026-07-11,신규_관심사,트래픽,37779,834,2.21,1139377,7,476000,0.42
2026-07-12,신제품_런칭_전환,전환,29197,360,1.23,526043,15,780000,1.48
2026-07-12,브랜드_인지_영상,인지,32440,674,2.08,795231,5,195000,0.25
2026-07-12,리타겟_장바구니,전환,42349,1084,2.56,972598,47,3196000,3.29
2026-07-12,신규_관심사,트래픽,21905,539,2.46,654072,1,52000,0.08
2026-07-13,신제품_런칭_전환,전환,26723,524,1.96,706407,8,416000,0.59
2026-07-13,브랜드_인지_영상,인지,21725,542,2.49,694774,1,39000,0.06
2026-07-13,리타겟_장바구니,전환,29451,546,1.85,408170,16,832000,2.04
2026-07-13,신규_관심사,트래픽,43700,661,1.51,1025386,5,340000,0.33
2026-07-14,신제품_런칭_전환,전환,20288,321,1.58,271245,5,260000,0.96
2026-07-14,브랜드_인지_영상,인지,34571,729,2.11,628648,5,340000,0.54
2026-07-14,리타겟_장바구니,전환,36326,399,1.1,413951,17,884000,2.14
2026-07-14,신규_관심사,트래픽,32948,856,2.6,1011237,2,136000,0.13
2026-07-15,신제품_런칭_전환,전환,19530,252,1.29,336427,9,468000,1.39
2026-07-15,브랜드_인지_영상,인지,19107,219,1.15,306708,1,39000,0.13
2026-07-15,리타겟_장바구니,전환,44939,1155,2.57,1784431,13,884000,0.5
2026-07-15,신규_관심사,트래픽,44711,988,2.21,1196273,2,78000,0.07
2026-07-16,신제품_런칭_전환,전환,13307,229,1.72,286171,7,476000,1.66
2026-07-16,브랜드_인지_영상,인지,35481,455,1.28,472101,2,136000,0.29
2026-07-16,리타겟_장바구니,전환,18345,452,2.46,674804,9,612000,0.91
2026-07-16,신규_관심사,트래픽,8968,229,2.55,341598,1,52000,0.15
2026-07-17,신제품_런칭_전환,전환,36548,485,1.33,589863,9,351000,0.6
2026-07-17,브랜드_인지_영상,인지,11461,194,1.69,276100,0,0,0.0
2026-07-17,리타겟_장바구니,전환,19408,213,1.1,170789,8,544000,3.19
2026-07-17,신규_관심사,트래픽,37457,955,2.55,1499459,3,156000,0.1
2026-07-18,신제품_런칭_전환,전환,29164,754,2.59,844756,31,1612000,1.91
2026-07-18,브랜드_인지_영상,인지,11510,293,2.55,279348,2,78000,0.28
2026-07-18,리타겟_장바구니,전환,27190,478,1.76,743761,11,748000,1.01
2026-07-18,신규_관심사,트래픽,15973,362,2.27,549907,3,204000,0.37
2026-07-19,신제품_런칭_전환,전환,8454,84,0.99,102777,1,39000,0.38
2026-07-19,브랜드_인지_영상,인지,25079,454,1.81,470907,4,208000,0.44
2026-07-19,리타겟_장바구니,전환,19784,429,2.17,584494,15,1020000,1.75
2026-07-19,신규_관심사,트래픽,24699,537,2.17,825891,3,156000,0.19
2026-07-20,신제품_런칭_전환,전환,14575,211,1.45,256464,6,234000,0.91
2026-07-20,브랜드_인지_영상,인지,31947,428,1.34,309757,2,136000,0.44
2026-07-20,리타겟_장바구니,전환,33842,540,1.6,532976,25,975000,1.83
2026-07-20,신규_관심사,트래픽,17906,431,2.41,497629,3,204000,0.41
2026-07-21,신제품_런칭_전환,전환,24479,632,2.58,630084,30,2040000,3.24
2026-07-21,브랜드_인지_영상,인지,17445,201,1.15,276995,1,68000,0.25
2026-07-21,리타겟_장바구니,전환,41421,625,1.51,596584,25,1700000,2.85
2026-07-21,신규_관심사,트래픽,14638,362,2.47,436521,1,39000,0.09
2026-07-22,신제품_런칭_전환,전환,24175,215,0.89,273817,7,273000,1.0
2026-07-22,브랜드_인지_영상,인지,18154,392,2.16,420109,2,136000,0.32
2026-07-22,리타겟_장바구니,전환,27336,681,2.49,602902,16,1088000,1.8
2026-07-22,신규_관심사,트래픽,23492,272,1.16,369404,0,0,0.0
2026-07-23,신제품_런칭_전환,전환,38855,956,2.46,1131239,33,1716000,1.52
2026-07-23,브랜드_인지_영상,인지,39274,839,2.14,1056984,7,273000,0.26
2026-07-23,리타겟_장바구니,전환,38094,491,1.29,749690,7,364000,0.49
2026-07-23,신규_관심사,트래픽,39160,392,1.0,416252,0,0,0.0
2026-07-24,신제품_런칭_전환,전환,43764,418,0.96,659892,16,832000,1.26
2026-07-24,브랜드_인지_영상,인지,40057,1039,2.59,858822,4,156000,0.18
2026-07-24,리타겟_장바구니,전환,10601,261,2.46,292898,9,612000,2.09
2026-07-24,신규_관심사,트래픽,25565,289,1.13,371918,2,104000,0.28
2026-07-25,신제품_런칭_전환,전환,26376,643,2.44,815226,27,1053000,1.29
2026-07-25,브랜드_인지_영상,인지,29801,713,2.39,940013,3,156000,0.17
2026-07-25,리타겟_장바구니,전환,33042,323,0.98,502482,5,195000,0.39
2026-07-25,신규_관심사,트래픽,30702,748,2.44,793339,3,156000,0.2
2026-07-26,신제품_런칭_전환,전환,37374,504,1.35,576101,11,429000,0.74
2026-07-26,브랜드_인지_영상,인지,30236,259,0.86,226897,0,0,0.0
2026-07-26,리타겟_장바구니,전환,9657,195,2.02,192270,2,136000,0.71
2026-07-26,신규_관심사,트래픽,31807,776,2.44,765103,3,156000,0.2
2026-07-27,신제품_런칭_전환,전환,26441,536,2.03,808648,18,702000,0.87
2026-07-27,브랜드_인지_영상,인지,42989,988,2.3,813989,6,312000,0.38
2026-07-27,리타겟_장바구니,전환,21814,535,2.45,423028,5,195000,0.46
2026-07-27,신규_관심사,트래픽,40774,738,1.81,600087,3,156000,0.26
2026-07-28,신제품_런칭_전환,전환,19543,415,2.12,431756,14,728000,1.69
2026-07-28,브랜드_인지_영상,인지,44435,374,0.84,275695,0,0,0.0
2026-07-28,리타겟_장바구니,전환,21011,376,1.79,355489,12,624000,1.76
2026-07-28,신규_관심사,트래픽,39657,660,1.66,976865,5,195000,0.2
2026-07-29,신제품_런칭_전환,전환,33425,308,0.92,384150,7,476000,1.24
2026-07-29,브랜드_인지_영상,인지,42536,1074,2.52,1116598,5,260000,0.23
2026-07-29,리타겟_장바구니,전환,19795,388,1.96,298223,16,832000,2.79
2026-07-29,신규_관심사,트래픽,23142,213,0.92,236024,1,39000,0.17
2026-07-30,신제품_런칭_전환,전환,37226,813,2.18,784347,29,1508000,1.92
2026-07-30,브랜드_인지_영상,인지,16059,353,2.2,312714,2,78000,0.25
2026-07-30,리타겟_장바구니,전환,22991,247,1.07,307582,6,408000,1.33
2026-07-30,신규_관심사,트래픽,44635,597,1.34,455254,3,204000,0.45
