날짜,채널,세션,이탈률(%),주문,매출,신규비율(%)
2026-05-01,자연검색,903,70.9,22,2002000,50.4
2026-05-01,유료검색,2058,70.0,46,1794000,32.7
2026-05-01,메타광고,933,71.8,11,572000,64.8
2026-05-01,인스타,1904,51.4,15,1365000,56.1
2026-05-01,뉴스레터,1845,50.4,18,1638000,34.0
2026-05-01,직접유입,149,45.0,3,273000,65.9
2026-05-02,자연검색,1959,70.3,11,748000,52.6
2026-05-02,유료검색,1502,63.1,22,1144000,56.9
2026-05-02,메타광고,306,48.1,3,156000,34.6
2026-05-02,인스타,1753,50.7,41,2132000,60.4
2026-05-02,뉴스레터,697,67.4,11,429000,45.3
2026-05-02,직접유입,350,61.4,6,546000,75.7
2026-05-03,자연검색,1063,56.9,11,429000,29.0
2026-05-03,유료검색,1938,46.7,37,1924000,71.2
2026-05-03,메타광고,614,61.1,14,546000,80.1
2026-05-03,인스타,2133,41.9,53,3604000,77.9
2026-05-03,뉴스레터,624,50.5,6,408000,45.1
2026-05-03,직접유입,1781,62.1,29,1508000,73.1
2026-05-04,자연검색,1220,67.7,6,546000,78.0
2026-05-04,유료검색,809,69.2,14,952000,39.8
2026-05-04,메타광고,2184,58.3,47,4277000,48.2
2026-05-04,인스타,267,73.5,2,78000,41.9
2026-05-04,뉴스레터,1637,55.1,17,1547000,45.0
2026-05-04,직접유입,2294,47.8,23,2093000,38.8
2026-05-05,자연검색,1918,38.3,38,2584000,36.1
2026-05-05,유료검색,2380,69.4,24,936000,39.4
2026-05-05,메타광고,774,49.8,6,312000,52.1
2026-05-05,인스타,357,42.8,2,136000,73.0
2026-05-05,뉴스레터,679,67.2,15,585000,28.7
2026-05-05,직접유입,1110,44.3,29,1131000,53.7
2026-05-06,자연검색,633,49.7,14,1274000,80.3
2026-05-06,유료검색,1435,43.5,22,858000,37.0
2026-05-06,메타광고,1577,53.8,8,544000,75.0
2026-05-06,인스타,1689,48.2,26,1768000,59.1
2026-05-06,뉴스레터,918,54.2,16,832000,54.2
2026-05-06,직접유입,142,46.8,3,156000,31.1
2026-05-07,자연검색,288,71.0,5,195000,55.8
2026-05-07,유료검색,422,62.1,11,748000,40.4
2026-05-07,메타광고,1411,39.5,11,1001000,28.4
2026-05-07,인스타,780,53.9,18,702000,50.0
2026-05-07,뉴스레터,1489,44.0,24,2184000,38.0
2026-05-07,직접유입,1179,65.5,13,884000,65.6
2026-05-08,자연검색,527,73.5,9,468000,56.2
2026-05-08,유료검색,349,40.6,9,351000,80.8
2026-05-08,메타광고,1500,39.9,25,1700000,50.0
2026-05-08,인스타,1786,46.9,14,1274000,77.4
2026-05-08,뉴스레터,840,70.7,20,1040000,55.1
2026-05-08,직접유입,1773,47.6,47,4277000,70.1
2026-05-09,자연검색,516,42.3,11,748000,66.8
2026-05-09,유료검색,1340,42.3,8,544000,36.7
2026-05-09,메타광고,211,62.2,2,104000,32.5
2026-05-09,인스타,973,42.9,26,1352000,49.2
2026-05-09,뉴스레터,2321,55.5,59,4012000,70.8
2026-05-09,직접유입,2100,40.3,41,1599000,53.4
2026-05-10,자연검색,1874,41.9,25,1700000,65.2
2026-05-10,유료검색,602,40.2,5,340000,71.9
2026-05-10,메타광고,1695,68.0,25,1700000,28.8
2026-05-10,인스타,1130,42.4,30,1170000,50.1
2026-05-10,뉴스레터,329,38.1,5,260000,67.2
2026-05-10,직접유입,251,73.5,4,272000,76.9
2026-05-11,자연검색,270,51.0,4,156000,77.3
2026-05-11,유료검색,1732,73.1,35,2380000,68.2
2026-05-11,메타광고,1708,48.1,20,1040000,37.3
2026-05-11,인스타,1389,62.0,29,1131000,33.2
2026-05-11,뉴스레터,1549,41.4,6,546000,33.1
2026-05-11,직접유입,1455,39.6,32,1664000,58.8
2026-05-12,자연검색,1518,43.3,35,3185000,72.5
2026-05-12,유료검색,2324,59.6,55,2145000,33.2
2026-05-12,메타광고,1251,54.2,12,816000,75.1
2026-05-12,인스타,866,53.7,3,273000,76.9
2026-05-12,뉴스레터,2147,67.8,56,3808000,75.9
2026-05-12,직접유입,2091,59.9,35,3185000,50.8
2026-05-13,자연검색,1881,70.9,30,2040000,34.5
2026-05-13,유료검색,1337,72.3,33,3003000,49.7
2026-05-13,메타광고,953,70.1,4,208000,78.5
2026-05-13,인스타,245,57.5,3,117000,49.9
2026-05-13,뉴스레터,1095,54.6,12,816000,55.9
2026-05-13,직접유입,1925,67.6,16,1456000,45.7
2026-05-14,자연검색,1088,43.4,14,728000,37.6
2026-05-14,유료검색,260,48.8,6,312000,39.7
2026-05-14,메타광고,2245,61.2,44,2992000,38.7
2026-05-14,인스타,2284,55.5,17,1547000,74.7
2026-05-14,뉴스레터,957,38.8,18,1638000,28.0
2026-05-14,직접유입,2195,56.1,9,351000,50.6
2026-05-15,자연검색,974,62.6,8,728000,32.1
2026-05-15,유료검색,2372,69.1,59,4012000,80.6
2026-05-15,메타광고,2253,47.8,39,1521000,61.0
2026-05-15,인스타,1421,59.4,19,1292000,78.6
2026-05-15,뉴스레터,1791,61.4,30,2730000,55.7
2026-05-15,직접유입,1257,43.8,33,1287000,80.1
2026-05-16,자연검색,777,69.2,6,546000,60.5
2026-05-16,유료검색,370,67.0,7,476000,54.1
2026-05-16,메타광고,2394,39.9,33,1287000,79.8
2026-05-16,인스타,2287,41.4,50,3400000,29.1
